path	bytes	du_bytes_if_measured	inode	nlink	mtime	atime	kind	model_id_guess	classification	evidence
/Users/rainhuang/.cache/huggingface	224	3108962304	34073457	7	1787395317	1787421764	cache-dir	huggingface hub cache	UNKNOWN	范围缓存根。Library/Caches/huggingface 不存在。真正的权重大多在 Desktop/models 的 local_dir，不在此重复存放。禁止与子行相加。
/Users/rainhuang/.cache/huggingface/hub/models--AITRADER--FLUX1-dev-mlx-4bit/refs/main	40	4096	43496357	1	1789052637	1790254814	revision-ref	AITRADER/FLUX1-dev-mlx-4bit	PROTECTED	refs/main=de5848a2ff4fc248b577b4a39fcdb2d71aaeecc4。无 blobs、无 snapshots。对应权重在 Desktop/models 的 local_dir，本行不是第二份权重。
/Users/rainhuang/.cache/huggingface/hub/models--NSFW-API--NSFW_Wan_1.3b/refs/main	40	4096	39765095	1	1788431466	1790254814	revision-ref	NSFW-API/NSFW_Wan_1.3b	PROTECTED	refs/main=4d8db25317335b4a0cfbefad9877b893f08dbc67。无 blobs、无 snapshots。对应权重在 Desktop/models 的 local_dir，本行不是第二份权重。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct	192	3098976256	34073461	6	1787237172	1787421138	directory	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	唯一带 blobs 的 Hub 仓库。du 约 2.9GiB 全部在 blobs；snapshots du=0，因为是符号链接，不能把链接与 blob 再加一次。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs	288	3098972160	34073462	9	1787237839	1787421274	blob-dir	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	内容寻址 blob。大文件是 model.safetensors 本体。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/07bfe0640cb5a0037f9322287fbfc682806cf672	7305	8192	34073494	1	1787237135	1787237135	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/20024bfe7c83998e9aeaf98a0cd6a2ce6306c2f0	1671839	1675264	34073508	1	1787237144	1788786379	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/443909a61d429dff23010e5bddd28ff530edda00	7031645	7032832	34073515	1	1787237172	1787237199	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/4783fe10ac3adce15ac8f358ef5462739852c569	2776833	2777088	34073502	1	1787237140	1788702153	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/dd924a11b4c220f385b51ffa522daea7c9f3d850e31b162bb5661df483c6d3ee	3087467144	3087470592	34073559	1	1787237510	1787237889	weight	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	Qwen2.5-1.5B-Instruct 的 model.safetensors 本体（blob 哈希名）。snapshot 里的 model.safetensors 只是指向它的符号链接。nlink=1，没有第二份硬链接。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/dfc11073787daf1b0f9c0f1499487ab5f4c93738	242	4096	34074225	1	1787237839	1787237839	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/blobs/f81ead14ab072d65a07817f83a3ee0e5a1890d10	660	4096	34073471	1	1787237134	1787237135	blob	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	同一仓库的分词器或配置 blob。snapshot 侧是符号链接。不要与链接行相加。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/refs/main	40	4096	34073467	1	1787237133	1787237134	revision-ref	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	refs/main=989aa7980e4cf806f80c7fef2b1adb7bc71aa306。权重在 blobs，见 blob 行。本行只是修订指针。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots	96	0	34073463	3	1787237133	1787237134	symlink-dir	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	du=0。7 个符号链接指向 ../blobs。不是第二份 2.9GiB。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/config.json	52	0	34073477	1	1787237134	1787237134	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/generation_config.json	52	0	34074227	1	1787237839	1787237839	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/merges.txt	52	0	34073510	1	1787237144	1787237144	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/model.safetensors	76	0	34073860	1	1787237510	1787237510	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/tokenizer.json	52	0	34073551	1	1787237172	1787237172	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/tokenizer_config.json	52	0	34073496	1	1787237135	1787237135	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--Qwen--Qwen2.5-1.5B-Instruct/snapshots/989aa7980e4cf806f80c7fef2b1adb7bc71aa306/vocab.json	52	0	34073506	1	1787237140	1787237140	symlink	Qwen/Qwen2.5-1.5B-Instruct	UNKNOWN	指向 ../../blobs 的符号链接。du 不跟随，故 snapshots 目录为 0 字节。不是独立副本。 本行是符号链接，bytes 为链接文本长度而非目标体积。
/Users/rainhuang/.cache/huggingface/hub/models--RunPod--FLUX.2-klein-4B-mflux-4bit/refs/main	40	4096	39765112	1	1788431466	1790254814	revision-ref	RunPod/FLUX.2-klein-4B-mflux-4bit	PROTECTED	refs/main=7ee1b3aa8178a1240050490072196a57da2bf2a9。无 blobs、无 snapshots。对应权重在 Desktop/models 的 local_dir，本行不是第二份权重。
/Users/rainhuang/.cache/huggingface/hub/models--TheCluster--Qwen3.5-9B-Uncensored-HauhauCS-Aggressive-MLX-mxfp4/refs/main	40	4096	34819728	1	1787475103	1790254814	revision-ref	TheCluster/Qwen3.5-9B-Uncensored-HauhauCS-Aggressive-MLX-mxfp4	ACTIVE	refs/main=a9e5f6d9aebfe8bae436bdd51da14dde5b1b30c9，与 MODEL.md 钉扎 a9e5f6d9aebfe8bae436bdd51da14dde5b1b30c9 一致。无 blobs。不是第二份 5.3G 权重。
/Users/rainhuang/.cache/huggingface/hub/models--Wan-AI--Wan2.1-T2V-1.3B/refs/main	40	4096	39765171	1	1788431467	1790254814	revision-ref	Wan-AI/Wan2.1-T2V-1.3B	PROTECTED	refs/main=37ec512624d61f7aa208f7ea8140a131f93afc9a。无 blobs、无 snapshots。对应权重在 Desktop/models 的 local_dir，本行不是第二份权重。
